id,u_id,l_id,name,gk_id,fbl_id,fbr_id,cbl_id,cbr_id,wl_id,wr_id,cml_id,cmr_id,sl_id,sr_id,bn1_id,bn2_id,bn3_id,bn4_id,bn5_id,bn6_id,bn7_id,in1_id,in2_id,in3_id
1,1,1,Phreddies,61161,55416,58266,57861,54906,56931,58506,56811,55431,58836,54741,60771,55716,60636,54471,59286,55761,,,,
2,2,1,keeping up with the joneses,59901,55656,55791,54816,56796,56271,57906,55806,56421,57456,56886,60741,60291,55821,58281,57126,57921,,,,
3,3,1,good guys,56286,61056,56751,59376,59181,57261,57966,59631,55161,60561,56361,54846,60576,56676,57246,58221,58611,,,,
4,4,1,the skies,59496,56496,56631,54891,56451,56061,55506,54396,55746,56856,56121,58626,58851,58251,58101,54966,56166,,,,
5,5,1,Smashleys,57081,55641,60186,55101,57801,57336,58026,56661,55071,57741,58701,59961,54351,60951,58806,58356,54591,,,,
6,6,1,meg monsters,57816,55986,60441,58671,58881,58791,59676,56586,55551,55371,59841,55536,59661,58401,58386,57501,60141,,,,
7,7,1,richie riches,55041,59361,56481,54531,54336,60036,54921,56106,54576,58236,59301,59061,58761,54696,55881,58341,60546,,,,
8,8,1,the mellies,54426,59886,57276,55671,57651,58746,55941,55191,57756,55176,59796,54456,57036,56721,55476,58566,56541,,,,
9,9,1,Nathans Hot Dogs,55776,59451,55296,57471,55731,58041,56031,59166,58821,56091,58131,59091,60696,57711,55596,58446,56736,,,,
10,10,1,The Okaylees,60261,57351,55146,57546,57216,55926,54756,56616,55086,55386,55686,60756,54636,56151,56001,55266,56436,,,,
11,11,1,Deep Goals,57051,60126,57426,57576,57561,55056,59106,55326,58911,56991,57891,57726,57876,59046,60096,55356,56196,,,,
12,12,1,Messiahs,59946,55566,59691,55131,57606,56391,56226,58731,57846,59241,55341,60606,57441,59736,59916,56946,55281,,,,
